GENE	CHR	START	END
79501	1	59091	80008
100996442	1	132447	184392
729759	1	357659	378597
81399	1	611096	632034
148398	1	849993	889961
26155	1	869583	904679
339451	1	885967	911099
84069	1	891872	920488
84808	1	900579	927473
57801	1	924342	946608
9636	1	938847	959920
375790	1	945503	1001499
401934	1	997126	1019687
54991	1	1007198	1061736
254173	1	1099286	1143315
8784	1	1128888	1152163
7293	1	1136706	1159703
51150	1	1142288	1177447
126792	1	1157629	1180421
388581	1	1167826	1192102
118424	1	1179292	1219234
6339	1	1205816	1237409
116983	1	1217764	1253304
126789	1	1233962	1257057
54973	1	1236965	1270067
80772	1	1250136	1274276
83756	1	1256726	1279844
1855	1	1260658	1294509
54587	1	1278071	1307183
54998	1	1299110	1320818
81669	1	1311091	1344718
55052	1	1327276	1352693
441869	1	1343800	1366824
643965	1	1351508	1373167
64856	1	1360903	1388262
219293	1	1368152	1415538
83858	1	1397139	1454852
55210	1	1437523	1480067
339453	1	1460158	1485740
29101	1	1467053	1520262
643988	1	1523388	1545476
142678	1	1540795	1575990
8510	1	1557060	1580030
984	1	1561100	1600473
728661	1	1581486	1634243
728642	1	1623822	1665999
9906	1	1646277	1687438
65220	1	1672671	1721508
2782	1	1706725	1832552
163688	1	1836266	1858733
339456	1	1839029	1860740
85452	1	1843390	1945276
2563	1	1940768	1972192
5590	1	1971909	2126834
100506504	1	2103250	2125812
199990	1	2105899	2154159
6497	1	2150134	2251652
79906	1	2241719	2333190
11079	1	2313214	2346883
5192	1	2326241	2354010
9651	1	2397754	2446964
55229	1	2429975	2468061
388585	1	2450184	2471684
8764	1	2477291	2505268
127281	1	2507899	2532908
79258	1	2512078	2574499
100287898	1	2562807	2716230
140625	1	2928046	2949467
63976	1	2975565	3365185
27237	1	3361147	3407677
1953	1	3394506	3538059
127262	1	3531556	3556695
49856	1	3537331	3576671
7161	1	3559129	3662765
148870	1	3658965	3698209
388588	1	3679352	3702546
57470	1	3686784	3723068
9731	1	3718645	3783797
1677	1	3763845	3811993
339448	1	3795697	3826857
55966	1	4705105	4853851
261734	1	5912870	6062618
8514	1	6042358	6171253
26038	1	6151847	6250194
6146	1	6235080	6269679
388591	1	6256189	6291359
23463	1	6271253	6306044
390992	1	6294252	6315638
387509	1	6297406	6331035
11332	1	6314332	6463826
54626	1	6465292	6494724
83715	1	6474836	6531004
8718	1	6510787	6537432
57449	1	6516152	6590121
79707	1	6571407	6624658
80835	1	6604987	6649817
3104	1	6630051	6659340
9903	1	6640784	6672958
148479	1	6663756	6694093
90326	1	6674925	6705646
55735	1	6684228	6771966
23261	1	6835384	7839766
9341	1	7821329	7851492
8863	1	7834413	7915241
10911	1	7897672	7923551
3604	1	7965931	8013225
11315	1	8011714	8055342
54206	1	8061779	8096393
50651	1	8368171	8414227
473	1	8402464	8887699
2023	1	8911059	8949151
765	1	8995893	9045151
155184	1	9053359	9096404
6518	1	9087005	9141763
80045	1	9153472	9199229
9563	1	9284822	9341396
80176	1	9325202	9439591
84275	1	9589528	9652831
199953	1	9638932	9684935
5293	1	9701789	9799172
22883	1	9779079	9894550
56998	1	9898334	9980316
84328	1	9972168	10013460
64802	1	9993486	10055556
116362	1	10047255	10086078
10277	1	10083041	10251297
23095	1	10260606	10451664
5226	1	10448884	10490565
378708	1	10479944	10520239
100526739	1	10480159	10522060
1325	1	10499776	10522060
1676	1	10510588	10542613
